Model Name,Developer,Parameter Size,Base Model Architecture,Modality & Support,คำอธิบายความสามารถ,จุดเด่น
typhoon-ai/typhoon2.5-qwen3-4b,Typhoon AI (SCB 10X),4B,Qwen3; decoder-only Transformer,Text input/output; Thai and English; 256K context; function calling,โมเดล Instruct ที่ปรับให้เหมาะกับภาษาไทย ใช้ทำ SFT/LoRA สำหรับตอบคำถาม Guardrail การปฏิเสธอย่างปลอดภัย และการให้เหตุผลตามนโยบาย,แนะนำเป็นตัวเลือกเริ่มต้น: ภาษาไทยดี ขนาดไม่ใหญ่ License Apache 2.0 และรองรับ context ยาว
typhoon-ai/typhoon2.1-gemma3-4b,Typhoon AI (SCB 10X),4B,Gemma 3; decoder-only Transformer (ตัด vision encoder ออก),Text input/output; Thai and English; 128K context; function calling,โมเดล Instruct ภาษาไทยขนาดเล็ก เหมาะสำหรับทดลอง Fine-tuning หลายรอบและสร้าง baseline ด้านความปลอดภัยของบทสนทนา,ใช้ทรัพยากรน้อยกว่าโมเดล 8B–12B และออกแบบมาสำหรับภาษาไทยโดยตรง
Qwen/Qwen3-8B,Alibaba Cloud / Qwen Team,8.2B,Qwen3; dense decoder-only Transformer with GQA,"Text input/output; 100+ languages and dialects; 32K native context, up to 128K with YaRN",โมเดลหลายภาษาที่รองรับโหมดคิดและไม่คิด เหมาะกับ SFT/LoRA เพื่อฝึกการจำแนกความเสี่ยง การอธิบายเหตุผล และสร้างคำตอบตาม Guardrail,รองรับภาษาไทย มีความสามารถด้าน instruction following และให้เหตุผลสูงในขนาดกลาง
Qwen/Qwen2.5-7B-Instruct,Alibaba Cloud / Qwen Team,7.61B,"Qwen2; decoder-only Transformer with RoPE, SwiGLU, RMSNorm and GQA",Text input/output; 29+ languages including Thai; 128K context; up to 8K generation,"โมเดล Instruct ที่เด่นด้านการทำตามคำสั่งและ structured output เหมาะกับการฝึกให้คืนค่า label, verdict, reason หรือ JSON อย่างสม่ำเสมอ",ระบบนิเวศ Fine-tuning กว้าง License Apache 2.0 และสร้าง output แบบมีโครงสร้างได้ดี
meta-llama/Llama-3.1-8B-Instruct,Meta,8B,Llama 3.1; autoregressive decoder-only Transformer with GQA,Text input/output; 8 supported languages including Thai; 128K context,"โมเดล Instruct มาตรฐานสำหรับสร้าง baseline และเปรียบเทียบผลการ Fine-tuning ด้าน safety, refusal และ policy following",เครื่องมือและตัวอย่าง LoRA/QLoRA จำนวนมาก เหมาะเป็น benchmark กลางสำหรับเทียบกับโมเดลไทย
typhoon-ai/typhoon2.1-gemma3-12b,Typhoon AI (SCB 10X),12B,Gemma 3; decoder-only Transformer (Thai-adapted),Text input/output; Thai and English; long-context support,รุ่นภาษาไทยขนาด 12B สำหรับงานที่ต้องการคุณภาพการให้เหตุผลและความสม่ำเสมอของคำตอบมากกว่ารุ่น 4B,สมดุลระหว่างคุณภาพภาษาไทยกับขนาดโมเดล เหมาะเป็น candidate หลักเมื่อมี GPU เพียงพอ
google/gemma-3-4b-it,Google DeepMind,4B,Gemma 3; decoder-only multimodal Transformer,Text and image input; text output; 140+ languages; 128K context,โมเดล Instruct ขนาดเล็กสำหรับ Fine-tuning งาน Guardrail แบบข้อความ และต่อยอดสู่การตรวจความปลอดภัยของภาพพร้อมข้อความได้,ขนาดกะทัดรัด รองรับหลายภาษาและ multimodal เหมาะกับการขยายขอบเขตในอนาคต
google/gemma-3-12b-it,Google DeepMind,12B,Gemma 3; decoder-only multimodal Transformer,Text and image input; text output; 140+ languages; 128K input context; 8K output,โมเดล Instruct หลายภาษาที่มีความสามารถด้านถามตอบ สรุป ให้เหตุผล และเข้าใจภาพ เหมาะกับ Guardrail ที่อาจเพิ่มข้อมูลภาพหรือเอกสาร,คุณภาพสูงกว่ารุ่น 4B และรองรับ multimodal โดยยังมีขนาดต่ำกว่าโมเดล 20B+
mistralai/Mistral-Small-3.1-24B-Instruct-2503,Mistral AI,24B,Mistral 3; dense decoder-only multimodal Transformer,Text and image input; text output; 24 languages; 128K context; function calling,โมเดล Instruct ความจุสูงสำหรับ Fine-tuning งานสนทนา การเรียกใช้เครื่องมือ การให้เหตุผล และการวิเคราะห์เอกสารยาว,ความสามารถหนาแน่น รองรับ vision และรันแบบ quantized บนเครื่องระดับสูงได้; License Apache 2.0
typhoon-ai/typhoon2.5-qwen3-30b-a3b,Typhoon AI (SCB 10X),30B total / 3B active,Qwen3 MoE; decoder-only Mixture-of-Experts,Text input/output; Thai and English; 256K context; function calling,โมเดล MoE ภาษาไทยสำหรับงาน Guardrail ที่ต้องการคุณภาพสูงและ context ยาว โดยเปิดใช้พารามิเตอร์ประมาณ 3B ต่อ token,ความจุรวมสูงแต่คำนวณต่อ token ต่ำกว่า dense 30B เหมาะสำหรับรอบทดลองขั้นสูงหรือ production candidate
FacebookAI/xlm-roberta-large,Meta AI,ประมาณ 559M,XLM-RoBERTa; encoder-only Transformer,Text input; 94 languages including Thai; classification/feature extraction,"เหมาะสำหรับเพิ่ม classification head เพื่อจำแนก flag_type, verdict หรือความเสี่ยงก่อนส่งข้อความให้โมเดลสร้างคำตอบ",เทรนและเสิร์ฟเร็วกว่า generative LLM มาก เหมาะเป็น baseline สำหรับ Guardrail classifier แบบต้นทุนต่ำ
